"streetname","originalcertifybydate","newcorrectbydate","registrationid","longitude","zip","latitude","violationid","class","inspectiondate","newcertifybydate","nta","communityboard","violationstatus","councildistrict","censustract","bbl","story","block","buildingid","novid","currentstatus","currentstatusdate","lot","approveddate","novtype","ordernumber","certifieddate","highhousenumber","boro","bin","boroid","novissueddate","streetcode","novdescription","currentstatusid","originalcorrectbydate","lowhousenumber","housenumber","apartment"
"EAST 48 STREET","2013-10-23T00:00:00.000",NULL,301467,-73.93248,11203,40.653217,10000035,"C","2013-10-08T00:00:00.000",NULL,"East Flatbush-Farragut",17,"Close",41,870,3046740064,"1",4674,265980,4705853,"VIOLATION CLOSED","2015-03-31T00:00:00.000",64,"2013-10-09T00:00:00.000","Original",526,NULL,"355","BROOKLYN",3102071,3,"2013-10-10T00:00:00.000",36930,"SECTION 27-2005\, 2007 ADM CODE  REMOVE THE ILLEGAL FASTENING DOUBLE  CYLINDER  KEY OPERATED LOCK AT  BUILDING  METAL  SECURITY  DOOR .  AT PUBLIC HALL\, 1st STORY",19,"2013-10-18T00:00:00.000","355","355",NULL
"CHURCH AVENUE","2013-11-29T00:00:00.000",NULL,331531,-73.928233,11203,40.652204,10000036,"B","2013-10-09T00:00:00.000",NULL,"Rugby-Remsen Village",17,"Close",41,862,3047000006,"Yards / Courts",4700,220512,4706664,"VIOLATION CLOSED","2015-03-01T00:00:00.000",6,"2013-10-10T00:00:00.000","Original",686,NULL,"5214","BROOKLYN",3102931,3,"2013-10-11T00:00:00.000",26230,"SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS OF INCANDESCENT LIGHT REQUIRED (FIXTURE PRESENT)",19,"2013-11-15T00:00:00.000","5214","5214",NULL
"METCALF AVENUE","2013-10-23T00:00:00.000",NULL,210942,-73.872349,10472,40.828402,10000040,"C","2013-10-08T00:00:00.000",NULL,"Soundview-Bruckner",9,"Close",18,68,2037470109,"Cellar",3747,95815,4705695,"VIOLATION CLOSED","2015-04-19T00:00:00.000",109,"2013-10-09T00:00:00.000","Original",672,NULL,"1138","BRONX",2024076,2,"2013-10-10T00:00:00.000",50720,"SECTION  27-2033 ADM CODE  PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM BOILER ROOM DOOR LOCKED  AT CELLAR",19,"2013-10-18T00:00:00.000","1138","1138",NULL
"LORING PLACE NORTH","2013-12-04T00:00:00.000",NULL,204906,-73.908723,10468,40.861277,10000050,"B","2013-10-09T00:00:00.000",NULL,"Kingsbridge Heights",7,"Close",14,255,2032250015,NULL,3225,92689,4708517,"VIOLATION CLOSED","2014-09-15T00:00:00.000",15,"2013-10-15T00:00:00.000","Original",686,NULL,"2280","BRONX",2014918,2,"2013-10-16T00:00:00.000",47020,"SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 200 WATTS INCANDESCENT LIGHT REQUIRED. LIGHT FIXTURE PRESENT.",19,"2013-11-20T00:00:00.000","2280","2280",NULL
"SCHENECTADY AVENUE","2013-10-24T00:00:00.000",NULL,363511,-73.933637,11213,40.671492,10000058,"C","2013-10-08T00:00:00.000",NULL,"Crown Heights North",8,"Close",36,351,3013780012,"Cellar",1378,367812,4706795,"VIOLATION CLOSED","2017-06-26T00:00:00.000",12,"2013-10-10T00:00:00.000","Original",672,"2013-10-24T00:00:00.000","213","BROOKLYN",3036795,3,"2013-10-11T00:00:00.000",75430,"SECTION  27-2033 ADM CODE  PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM NO KEY TO BOILER ROOM  AT CELLAR",19,"2013-10-19T00:00:00.000","213","213",NULL
"ST NICHOLAS AVENUE","2016-11-18T00:00:00.000",NULL,114068,-73.952539,10026,40.801076,11332260,"A","2016-07-29T00:00:00.000",NULL,"Central Harlem South",10,"Close",9,216,1018230056,"5",1823,28166,5482713,"VIOLATION CLOSED","2018-10-05T00:00:00.000",56,"2016-07-29T00:00:00.000","Original",502,NULL,"69","MANHATTAN",1055031,1,"2016-08-01T00:00:00.000",31190,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE 5th ROOM  FROM EAST AT SOUTH LOCATED AT APT 15\, 5th STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2016-11-04T00:00:00.000","67","67","15"
"PACIFIC STREET","2013-10-20T00:00:00.000",NULL,317925,-73.940936,11213,40.677181,10000070,"C","2013-10-08T00:00:00.000",NULL,"Crown Heights North",8,"Close",36,311,3012040077,"1",1204,349658,4706997,"VIOLATION CLOSED","2016-09-22T00:00:00.000",77,"2013-10-10T00:00:00.000","Original",670,NULL,"1509","BROOKLYN",3029950,3,"2013-10-11T00:00:00.000",68930,"SECTION 27-2031 ADM CODE  PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT  LOCATED AT APT 1L\, 1st STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2013-10-09T00:00:00.000",NULL,"1509","1L"
"UNIONPORT ROAD","2014-01-27T00:00:00.000",NULL,200683,-73.86853,10462,40.850388,10000074,"A","2013-07-30T00:00:00.000",NULL,"Van Nest-Morris Park-Westchester Square",11,"Close",15,230,2042560014,"4",4256,116656,4705746,"VIOLATION CLOSED","2014-11-07T00:00:00.000",14,"2013-10-09T00:00:00.000","Original",554,NULL,"1980","BRONX",2047876,2,"2013-10-10T00:00:00.000",70520,"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE           1st RISER  FROM EAST AT SOUTH WALL IN THE BATHROOM  LOCATED AT APT A32\, 4th STORY\, 1st APARTMENT FROM SOUTH AT WEST \, SECTION ''A''",19,"2014-01-13T00:00:00.000","1980","1980","A32"
"HANCOCK STREET","2013-11-28T00:00:00.000",NULL,357205,-73.908807,11237,40.694658,10000078,"B","2013-10-08T00:00:00.000",NULL,"Bushwick North",4,"Close",37,437,3033920057,"3",3392,306728,4705878,"VIOLATION CLOSED","2017-07-28T00:00:00.000",57,"2013-10-09T00:00:00.000","Original",742,NULL,"1351","BROOKLYN",3078076,3,"2013-10-10T00:00:00.000",47030,"SECTION 27-2070 ADM CODE  PROVIDE AN ADEQUATE SUPPLY OF GAS TO THE FIXTURES ..  IN THE KITCHEN  LOCATED AT APT 3L\, 3rd STORY\, APARTMENT AT  NORTH",19,"2013-11-14T00:00:00.000","1351","1351","3L"
"HANCOCK STREET","2013-11-28T00:00:00.000",NULL,357205,-73.908807,11237,40.694658,10000082,"B","2013-10-08T00:00:00.000",NULL,"Bushwick North",4,"Close",37,437,3033920057,"3",3392,306728,4705878,"VIOLATION CLOSED","2017-04-04T00:00:00.000",57,"2013-10-09T00:00:00.000","Original",502,NULL,"1351","BROOKLYN",3078076,3,"2013-10-10T00:00:00.000",47030,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE  WOOD FLOOR   IN THE KITCHEN  LOCATED AT APT 3L\, 3rd STORY\, APARTMENT AT  NORTH",19,"2013-11-14T00:00:00.000","1351","1351","3L"
"HANCOCK STREET","2013-10-23T00:00:00.000",NULL,357205,-73.908807,11237,40.694658,10000084,"C","2013-10-08T00:00:00.000",NULL,"Bushwick North",4,"Close",37,437,3033920057,"3",3392,306728,4705879,"VIOLATION CLOSED","2017-04-04T00:00:00.000",57,"2013-10-09T00:00:00.000","Original",526,NULL,"1351","BROOKLYN",3078076,3,"2013-10-10T00:00:00.000",47030,"SECTION 27-2005\, 2007 ADM CODE  REMOVE THE ILLEGAL FASTENING PADLOCK AT GATE   IN THE KITCHEN  LOCATED AT APT 3L\, 3rd STORY\, APARTMENT AT  NORTH",19,"2013-10-18T00:00:00.000","1351","1351","3L"
"HANCOCK STREET","2013-11-28T00:00:00.000",NULL,357205,-73.908807,11237,40.694658,10000085,"B","2013-10-08T00:00:00.000",NULL,"Bushwick North",4,"Close",37,437,3033920057,"3",3392,306728,4705878,"VIOLATION CLOSED","2017-04-04T00:00:00.000",57,"2013-10-09T00:00:00.000","Original",521,NULL,"1351","BROOKLYN",3078076,3,"2013-10-10T00:00:00.000",47030,"SECTION 27-2005\, 2007 ADM CODE  FIRE EGRESS DEFECTIVE. REMOVE OBSTRUCTING BARS OR UNLAWFUL GATES FROM WINDOW TO FIRE ESCAPE OR PROVIDE APPROVED TYPE GATE ..  IN THE KITCHEN  LOCATED AT APT 3L\, 3rd STORY\, APARTMENT AT  NORTH",19,"2013-11-14T00:00:00.000","1351","1351","3L"
"HANCOCK STREET","2013-11-28T00:00:00.000",NULL,357205,-73.908807,11237,40.694658,10000087,"B","2013-10-08T00:00:00.000",NULL,"Bushwick North",4,"Close",37,437,3033920057,"3",3392,306728,4705878,"VIOLATION DISMISSED","2017-04-04T00:00:00.000",57,"2013-10-09T00:00:00.000","Original",1503,NULL,"1351","BROOKLYN",3078076,3,"2013-10-10T00:00:00.000",47030,"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING   IN THE ENTIRE APARTMENT  LOCATED AT APT 3L\, 3rd STORY\, APARTMENT AT  NORTH",9,"2013-11-14T00:00:00.000","1351","1351","3L"
"HANCOCK STREET","2013-11-28T00:00:00.000",NULL,357205,-73.908807,11237,40.694658,10000088,"B","2013-10-08T00:00:00.000",NULL,"Bushwick North",4,"Close",37,437,3033920057,"3",3392,306728,4705878,"VIOLATION DISMISSED","2017-04-04T00:00:00.000",57,"2013-10-09T00:00:00.000","Original",702,NULL,"1351","BROOKLYN",3078076,3,"2013-10-10T00:00:00.000",47030,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR  MISSING   IN THE ENTIRE APARTMENT  LOCATED AT APT 3L\, 3rd STORY\, APARTMENT AT  NORTH",9,"2013-11-14T00:00:00.000","1351","1351","3L"
"HANCOCK STREET","2013-11-28T00:00:00.000",NULL,357205,-73.908807,11237,40.694658,10000089,"B","2013-10-08T00:00:00.000",NULL,"Bushwick North",4,"Close",37,437,3033920057,"3",3392,306728,4705878,"VIOLATION CLOSED","2017-05-17T00:00:00.000",57,"2013-10-09T00:00:00.000","Original",568,NULL,"1351","BROOKLYN",3078076,3,"2013-10-10T00:00:00.000",47030,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 3L\, 3rd STORY\, APARTMENT AT  NORTH",19,"2013-11-14T00:00:00.000","1351","1351","3L"
"ST NICHOLAS AVENUE","2013-11-28T00:00:00.000",NULL,111925,-73.951209,10027,40.812285,10000091,"B","2013-10-08T00:00:00.000",NULL,"Central Harlem North-Polo Grounds",10,"Open",9,215,1019540043,"5",1954,28098,4705531,"NOT COMPLIED WITH","2014-10-07T00:00:00.000",43,"2013-10-09T00:00:00.000","Original",742,NULL,"348","MANHATTAN",1059389,1,"2013-10-10T00:00:00.000",31190,"SECTION 27-2070 ADM CODE  PROVIDE AN ADEQUATE SUPPLY OF GAS TO THE FIXTURES ..  IN THE ENTIRE APARTMENT  LOCATED AT APT 5N\, 5th STORY\, 1st APARTMENT FROM WEST AT NORTH",21,"2013-11-14T00:00:00.000","348","348","5N"
"PACIFIC STREET","2013-10-28T00:00:00.000",NULL,317925,-73.940936,11213,40.677181,10000071,"C","2013-10-08T00:00:00.000",NULL,"Crown Heights North",8,"Close",36,311,3012040077,"1",1204,349658,4707583,"VIOLATION CLOSED","2016-09-22T00:00:00.000",77,"2013-10-11T00:00:00.000","Original",672,NULL,"1509","BROOKLYN",3029950,3,"2013-10-15T00:00:00.000",68930,"SECTION  27-2033 ADM CODE  PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM LOCKED BOILER ROOM  IN THE ENTIRE APARTMENT  LOCATED AT APT 1L\, 1st STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2013-10-23T00:00:00.000",NULL,"1509","1L"
"EAST 172 STREET","2014-01-27T00:00:00.000",NULL,207907,-73.869201,10472,40.832584,10000060,"A","2013-09-11T00:00:00.000",NULL,"West Farms-Bronx River",9,"Close",18,76,2037840021,"3",3784,65537,4705609,"VIOLATION CLOSED","2018-02-28T00:00:00.000",21,"2013-10-09T00:00:00.000","Original",556,"2014-02-18T00:00:00.000","1758","BRONX",2025588,2,"2013-10-10T00:00:00.000",26820,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE           SOUTH WALL IN THE BATHROOM  LOCATED AT APT 3M\, 3rd STORY\, 2nd APARTMENT FROM SOUTH AT WEST \, SECTION  AT  WEST",19,"2014-01-13T00:00:00.000","1742","1742","3M"
"PITKIN AVENUE","2014-01-27T00:00:00.000",NULL,355611,-73.880485,11208,40.674161,10000105,"A","2013-10-07T00:00:00.000",NULL,"East New York",5,"Close",37,1166,3040210019,"1",4021,354272,4705942,"VIOLATION CLOSED","2015-07-27T00:00:00.000",19,"2013-10-09T00:00:00.000","Original",556,NULL,"2488","BROOKLYN",3089314,3,"2013-10-10T00:00:00.000",70930,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE 1st ROOM  FROM NORTH\,  THE 2nd ROOM  FROM NORTH AT WEST\,  THE BATHROOM   LOCATED AT APT 1FL\, 1st STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2014-01-13T00:00:00.000","2488","2488","1FL"
"ECHO PLACE","2014-01-27T00:00:00.000",NULL,205177,-73.90455,10457,40.849718,10000177,"A","2013-10-08T00:00:00.000",NULL,"Mount Hope",5,"Open",15,23502,2028100045,"6",2810,74898,4705649,"FIRST NO ACCESS TO RE- INSPECT VIOLATION","2016-11-10T00:00:00.000",45,"2013-10-09T00:00:00.000","Original",491,NULL,"231","BRONX",2007730,2,"2013-10-10T00:00:00.000",29920,"SECTION 300 M/D LAW  FILE PLANS AND APPLICATION AND LEGALIZE THE FOLLOWING ALTERATION OR RESTORE TO THE LEGAL CONDITION EXISTING PRIOR TO THE MAKING OF SAID ALTERATION  PARTITION  WALL ERECTED  WITH 2BY 4 AND SHEETROCK FROM FLOOR TO CEILING CREATING ADDITIONAL ROOMS  IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 3E\, 6th STORY\, 1st APARTMENT FROM WEST AT NORTH \, SECTION  AT  WEST",22,"2014-01-13T00:00:00.000","231","231","3E"
"MACON STREET","2014-01-27T00:00:00.000",NULL,358832,-73.918794,11233,40.684617,10000178,"A","2013-10-08T00:00:00.000",NULL,"Stuyvesant Heights",3,"Close",41,377,3014970026,"3",1497,330345,4705920,"VIOLATION CLOSED","2014-11-21T00:00:00.000",26,"2013-10-09T00:00:00.000","Original",583,NULL,"804","BROOKLYN",3040150,3,"2013-10-10T00:00:00.000",58030,"SECTION 27-2026\, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING  IN THE 1st ROOM  FROM NORTH LOCATED AT APT 6C\, 3rd STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2014-01-13T00:00:00.000","804","804","6C"
"THOMAS S BOYLAND STREET","2016-09-23T00:00:00.000",NULL,348224,-73.91363,11233,40.677098,11259306,"A","2016-06-02T00:00:00.000",NULL,"Ocean Hill",16,"Close",41,301,3015650010,"1",1565,313702,5443971,"VIOLATION CLOSED","2017-07-30T00:00:00.000",10,"2016-06-03T00:00:00.000","Original",556,NULL,"217","BROOKLYN",3042499,3,"2016-06-06T00:00:00.000",50830,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE 5th ROOM  FROM EAST\,  THE 4th ROOM  FROM EAST\,  THE PRIVATE HALLWAY \,  THE KITCHEN \,  THE BATHROOM \,  THE 2nd ROOM  FROM EAST  LOCATED AT APT 1R\, 1st STORY\, 1st APARTMENT FROM EAST AT SOUTH",19,"2016-09-09T00:00:00.000","217","217","1R"
"MACON STREET","2014-01-27T00:00:00.000",NULL,358832,-73.918794,11233,40.684617,10000184,"A","2013-10-08T00:00:00.000",NULL,"Stuyvesant Heights",3,"Close",41,377,3014970026,"3",1497,330345,4705920,"VIOLATION CLOSED","2014-11-21T00:00:00.000",26,"2013-10-09T00:00:00.000","Original",583,NULL,"804","BROOKLYN",3040150,3,"2013-10-10T00:00:00.000",58030,"SECTION 27-2026\, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT TOP OF 1ST WINDOW FROM SOUTH AT WEST WALL  IN THE 3rd ROOM  FROM NORTH LOCATED AT APT 6C\, 3rd STORY\, 1st APARTMENT FROM SOUTH AT WEST \, SECTION  AT  NORTH",19,"2014-01-13T00:00:00.000","804","804","6C"
"STERLING PLACE","2013-11-28T00:00:00.000",NULL,360357,-73.923129,11233,40.671058,10000191,"B","2013-10-08T00:00:00.000",NULL,"Crown Heights North",8,"Close",41,359,3013750055,"1",1375,376529,4705968,"VIOLATION CLOSED","2014-09-10T00:00:00.000",55,"2013-10-09T00:00:00.000","Original",506,NULL,"1679","BROOKLYN",3036650,3,"2013-10-10T00:00:00.000",81430,"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING BALUSTER AT BALUSTRADE  AT PUBLIC HALL STAIRS\, 1st STORY",19,"2013-11-14T00:00:00.000","1679","1679",NULL
"ECHO PLACE","2013-12-03T00:00:00.000",NULL,205177,-73.90455,10457,40.849718,10000196,"B","2013-10-08T00:00:00.000",NULL,"Mount Hope",5,"Close",15,23502,2028100045,"6",2810,74898,4707798,"VIOLATION CLOSED","2016-11-03T00:00:00.000",45,"2013-10-12T00:00:00.000","Original",502,NULL,"231","BRONX",2007730,2,"2013-10-15T00:00:00.000",29920,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE EAST AND SOUTH WALL AT BULKHEAD AT EAST SECTION  AT PUBLIC HALL\, 6th STORY\, SECTION  AT  EAST",19,"2013-11-19T00:00:00.000","231","231",NULL
"WEST 159 STREET","2014-02-01T00:00:00.000",NULL,132406,-73.942162,10032,40.834543,10000198,"A","2013-10-08T00:00:00.000",NULL,"Washington Heights South",12,"Close",7,245,1021170020,"Roof",2117,42824,4707760,"VIOLATION CLOSED","2015-09-24T00:00:00.000",20,"2013-10-12T00:00:00.000","Original",529,NULL,"532","MANHATTAN",1062755,1,"2013-10-15T00:00:00.000",36950,"SECTION 27-2005 ADM CODE  REFIT ROOF DOOR",19,"2014-01-18T00:00:00.000","532","532",NULL
